Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Label,GroupNumber,NumberWithinGroup,GroupSize,HomePlanetEuropa,HomePlanetEarth,HomePlanetMars,CryoSleepTrue,CryoSleepMissing,CabinNumber,CabinMissing,CabinFirstLetterA,CabinFirstLetterB,CabinFirstLetterC,CabinFirstLetterD,CabinFirstLetterE,CabinFirstLetterF,CabinFirstLetterG,CabinLastLetterP,DestinationTrappist,DestinationPSO,DestinationCancri,Toddler,Child,VIPTrue,VIPMissing,Spending,SpentMoney,NameLength
31.0,32.0,0.0,876.0,0.0,0.0,False,train,12,1,1,0,1,0,0,0,604.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,908.0,1,13.0
27.0,1286.0,122.0,175.0,0.0,0.0,False,train,14,1,1,0,0,1,0,0,3.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1408.0,1,11.0
24.0,0.0,1.0,0.0,0.0,637.0,False,train,15,1,1,0,1,0,0,0,4.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,638.0,1,15.0
45.0,0.0,0.0,0.0,0.0,0.0,True,train,16,1,1,0,0,1,1,0,5.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.0,0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,True,train,17,1,2,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0.0,0,13.0
14.0,412.0,0.0,1.0,0.0,679.0,False,train,17,2,2,0,1,0,0,0,6.0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1092.0,1,15.0
1.0,0.0,0.0,0.0,0.0,0.0,False,train,20,1,6,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.0,0,17.0
49.0,0.0,0.0,0.0,0.0,0.0,False,train,20,2,6,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,17.0
29.0,0.0,0.0,175.0,0.0,0.0,False,train,20,3,6,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0,18.0
10.0,0.0,0.0,0.0,0.0,0.0,True,train,20,4,6,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0,18.0
1.0,223.0,0.0,0.0,0.0,0.0,False,train,20,5,6,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0,15.0
7.0,0.0,0.0,0.0,0.0,0.0,False,train,20,6,6,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0,17.0
21.0,980.0,2.0,69.0,0.0,0.0,False,train,22,1,1,0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1051.0,1,14.0
62.0,0.0,0.0,175.0,0.0,0.0,True,train,24,1,1,1,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,15.0
15.0,0.0,225.0,0.0,998.0,0.0,False,train,25,1,1,0,1,0,0,0,6.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1223.0,1,17.0
34.0,22.0,6073.0,0.0,1438.0,328.0,False,train,26,1,1,1,0,0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,7861.0,1,15.0
43.0,1125.0,0.0,136.0,48.0,0.0,False,train,28,1,1,0,0,1,0,0,8.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1309.0,1,10.0
32.0,0.0,850.0,81.0,437.0,453.0,False,train,30,1,1,0,1,0,0,0,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1821.0,1,16.0
47.0,214.0,0.0,1411.0,0.0,1229.0,True,train,31,1,3,0,0,1,0,0,9.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2854.0,1,12.0
2.0,0.0,0.0,0.0,0.0,0.0,True,train,31,2,3,0,0,1,0,0,9.0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0.0,0,12.0
20.0,223.0,0.0,1750.0,990.0,0.0,True,train,31,3,3,0,0,1,0,0,9.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2740.0,1,12.0
28.0,0.0,0.0,0.0,0.0,0.0,True,train,34,1,1,1,0,0,1,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,15.0
23.0,784.0,964.0,0.0,951.0,0.0,False,train,35,1,1,0,0,1,0,0,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2699.0,1,10.0
15.0,0.0,492.0,48.0,20.0,401.0,False,train,36,1,1,0,1,0,0,0,8.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,961.0,1,14.0
20.0,554.0,195.0,0.0,2606.0,0.0,False,train,38,1,1,0,1,0,0,0,10.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3355.0,1,13.0
30.0,0.0,0.0,175.0,0.0,0.0,False,train,39,1,1,0,1,0,1,0,1.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,0,17.0
17.0,0.0,0.0,0.0,0.0,0.0,True,train,41,1,1,0,1,0,1,0,2.0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.0,0,14.0
45.0,0.0,164.0,45.0,2511.0,855.0,False,train,43,1,1,1,0,0,0,0,3.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3575.0,1,18.0
55.0,0.0,0.0,0.0,0.0,0.0,False,train,44,1,3,0,1,0,1,0,3.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0,17.0
4.0,0.0,0.0,0.0,0.0,0.0,True,train,44,2,3,0,1,0,1,0,3.0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0.0,0,17.0
21.0,0.0,0.0,0.0,0.0,0.0,True,train,44,3,3,0,1,0,1,0,3.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.0,0,17.0
21.0,970.0,0.0,180.0,0.0,64.0,False,train,45,1,2,0,0,1,0,0,10.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1214.0,1,12.0
19.0,0.0,0.0,0.0,0.0,0.0,True,train,45,2,2,0,0,1,1,0,10.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0,10.0
35.0,790.0,0.0,0.0,308.0,0.0,False,train,50,1,1,0,1,0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,790.0,1,11.0
56.0,0.0,112.0,0.0,1379.0,127.0,False,train,51,1,1,0,1,0,0,0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1618.0,1,16.0
29.0,4.0,0.0,2.0,4683.0,0.0,False,train,52,1,1,0,1,0,0,0,6.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4689.0,1,16.0
25.0,0.0,0.0,1938.0,0.0,1.0,True,train,53,1,1,0,1,0,0,0,11.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1939.0,1,15.0
2.0,0.0,0.0,0.0,0.0,0.0,True,train,56,1,3,1,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0,15.0
38.0,0.0,0.0,0.0,0.0,0.0,True,train,56,2,3,1,0,0,1,0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,15.0
27.0,279.0,605.0,3374.0,286.0,3.0,True,train,56,3,3,1,0,0,0,0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4547.0,1,16.0
36.0,0.0,0.0,0.0,0.0,0.0,False,train,58,1,1,0,1,0,1,0,7.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,16.0
22.0,45.0,1096.0,148.0,1377.0,1.0,False,train,61,1,1,0,1,0,0,0,12.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2667.0,1,12.0
62.0,0.0,592.0,0.0,17.0,25.0,False,train,62,1,1,0,1,0,0,0,13.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,634.0,1,14.0
15.0,0.0,0.0,0.0,0.0,0.0,True,train,64,1,2,0,0,1,1,0,14.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0,14.0
33.0,0.0,0.0,175.0,0.0,0.0,True,train,64,2,2,0,0,0,1,0,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,11.0
62.0,1.0,153.0,197.0,0.0,460.0,False,train,66,1,1,0,1,0,0,0,6.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,811.0,1,16.0
0.0,0.0,0.0,0.0,0.0,0.0,True,train,67,1,3,0,1,0,1,0,10.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.0,0,13.0
18.0,1.0,258.0,446.0,0.0,0.0,True,train,67,2,3,0,1,0,0,0,10.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,705.0,1,13.0
21.0,1946.0,37.0,0.0,0.0,24.0,False,train,67,3,3,0,1,0,0,0,15.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2007.0,1,13.0
29.0,793.0,0.0,2.0,253.0,0.0,False,train,68,1,1,0,0,1,0,0,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1048.0,1,11.0
42.0,887.0,0.0,9.0,6.0,0.0,True,train,69,1,1,0,1,0,0,0,16.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,902.0,1,14.0
19.0,190.0,0.0,5.0,1.0,726.0,False,train,70,1,1,0,1,0,0,0,13.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,922.0,1,15.0
17.0,16.0,2165.0,0.0,0.0,52.0,False,train,71,1,1,0,1,0,0,0,14.0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,2233.0,1,14.0
14.0,0.0,1.0,0.0,0.0,1063.0,False,train,72,1,1,0,1,0,0,0,17.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1064.0,1,16.0
37.0,46.0,83.0,738.0,0.0,12.0,False,train,73,1,1,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,879.0,1,9.0
42.0,1.0,8397.0,0.0,0.0,506.0,True,train,74,1,1,1,0,0,0,0,3.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8904.0,1,16.0
27.0,147.0,0.0,1018.0,0.0,0.0,True,train,76,1,1,0,0,1,0,0,18.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1165.0,1,8.0
28.0,14.0,0.0,1295.0,0.0,0.0,True,train,77,1,1,0,0,1,0,0,15.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1309.0,1,9.0
38.0,0.0,5840.0,0.0,321.0,9654.0,False,train,78,1,1,1,0,0,0,0,4.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15815.0,1,15.0
13.0,0.0,0.0,0.0,0.0,0.0,False,train,81,1,1,0,1,0,1,0,13.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0,16.0
42.0,7406.0,0.0,0.0,0.0,0.0,False,train,82,1,3,0,0,1,0,0,16.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7406.0,1,11.0
2.0,0.0,0.0,0.0,0.0,0.0,True,train,82,2,3,0,0,1,1,0,16.0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0.0,0,12.0
8.0,0.0,0.0,0.0,0.0,0.0,True,train,82,3,3,0,0,1,0,0,16.0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0.0,0,14.0
24.0,688.0,0.0,0.0,0.0,17.0,True,train,84,1,1,0,1,0,0,0,14.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,705.0,1,17.0
40.0,0.0,0.0,0.0,0.0,0.0,True,train,85,1,1,1,0,0,1,0,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,18.0
43.0,211.0,0.0,0.0,638.0,513.0,False,train,86,1,1,0,1,0,0,0,17.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1362.0,1,12.0
45.0,0.0,0.0,0.0,0.0,0.0,True,train,88,1,1,0,0,1,1,0,5.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0,12.0
35.0,0.0,0.0,0.0,0.0,0.0,True,train,90,1,1,0,1,0,1,0,15.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,13.0
26.0,223.0,0.0,0.0,0.0,0.0,True,train,91,1,2,0,1,0,1,0,16.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,15.0
27.0,1.0,697.0,31.0,188.0,0.0,False,train,91,2,2,0,1,0,0,0,20.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,917.0,1,14.0
19.0,0.0,0.0,670.0,1.0,34.0,False,train,92,1,3,0,1,0,0,0,9.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,705.0,1,14.0
0.0,0.0,0.0,175.0,0.0,0.0,True,train,92,2,3,0,1,0,1,0,9.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0.0,0,12.0
3.0,0.0,0.0,0.0,0.0,0.0,True,train,92,3,3,0,1,0,1,0,9.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0.0,0,12.0
54.0,0.0,1208.0,0.0,3.0,637.0,False,train,97,1,1,1,0,0,0,0,2.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1848.0,1,15.0
26.0,0.0,856.0,5.0,32.0,0.0,False,train,98,1,2,0,1,0,0,0,11.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,893.0,1,15.0
26.0,0.0,2811.0,957.0,0.0,87.0,True,train,98,2,2,0,1,0,0,0,11.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3855.0,1,16.0
23.0,311.0,427.0,526.0,37.0,0.0,False,train,99,1,2,0,1,0,0,0,19.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1301.0,1,17.0
2.0,0.0,0.0,0.0,0.0,0.0,True,train,99,2,2,0,1,0,1,1,12.0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0.0,0,16.0
31.0,0.0,0.0,0.0,0.0,0.0,True,train,101,1,1,0,0,1,1,0,604.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,9.0
18.0,0.0,0.0,0.0,830.0,91.0,False,train,102,1,1,0,1,0,0,0,23.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,921.0,1,13.0
24.0,0.0,452.0,0.0,0.0,17.0,True,train,103,1,3,0,1,0,0,0,24.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,17.0,1,14.0
9.0,0.0,0.0,0.0,0.0,0.0,True,train,103,2,3,0,1,0,1,0,18.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.0,0,15.0
6.0,0.0,0.0,0.0,0.0,0.0,False,train,103,3,3,0,1,0,1,0,18.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0.0,0,14.0
27.0,0.0,0.0,570.0,2.0,131.0,False,train,105,1,1,0,1,0,1,1,21.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,703.0,1,16.0
21.0,1743.0,5.0,17.0,0.0,0.0,False,train,107,1,1,0,0,1,0,0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1765.0,1,11.0
23.0,0.0,0.0,0.0,0.0,0.0,False,train,108,1,3,0,1,0,1,0,19.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,16.0
31.0,562.0,0.0,326.0,0.0,0.0,False,train,108,2,3,0,1,0,0,0,19.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,888.0,1,14.0
0.0,0.0,0.0,0.0,0.0,0.0,True,train,108,3,3,0,1,0,0,0,19.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0.0,0,15.0
32.0,0.0,410.0,6.0,3929.0,764.0,False,train,110,1,4,1,0,0,0,0,604.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5109.0,1,17.0
40.0,0.0,331.0,0.0,0.0,1687.0,False,train,110,2,4,1,0,0,1,1,5.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2018.0,1,15.0
42.0,2209.0,11418.0,0.0,1868.0,445.0,True,train,110,3,4,1,0,0,0,0,5.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,15940.0,1,17.0
28.0,0.0,0.0,0.0,0.0,0.0,True,train,110,4,4,1,0,0,1,0,5.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,15.0
29.0,0.0,0.0,0.0,0.0,0.0,True,train,111,1,1,1,0,0,1,0,6.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0,13.0
48.0,0.0,2537.0,87.0,17.0,13.0,True,train,112,1,1,1,0,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2654.0,1,12.0
64.0,0.0,0.0,804.0,0.0,0.0,True,train,113,1,1,0,1,0,0,0,23.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,804.0,1,12.0
27.0,82.0,157.0,429.0,238.0,1.0,False,train,114,1,1,0,1,0,0,0,20.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,907.0,1,15.0
26.0,0.0,0.0,0.0,0.0,307.0,True,train,115,1,1,0,0,1,1,1,24.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.0,0,9.0
33.0,1.0,2223.0,0.0,12.0,404.0,True,train,116,1,1,1,0,0,0,0,4.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2640.0,1,15.0
39.0,0.0,2344.0,0.0,65.0,6898.0,False,train,119,1,2,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9307.0,1,12.0
13.0,0.0,0.0,0.0,0.0,0.0,True,train,119,2,2,1,0,0,1,0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0,14.0
24.0,0.0,0.0,0.0,0.0,307.0,True,train,120,1,1,0,0,1,1,0,25.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.0,0,10.0
29.0,0.0,0.0,0.0,699.0,74.0,False,train,122,1,1,0,1,0,0,0,21.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,773.0,1,13.0
18.0,55.0,597.0,49.0,0.0,1.0,False,train,123,1,1,0,1,0,0,0,27.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,702.0,1,12.0
67.0,0.0,0.0,0.0,0.0,0.0,True,train,126,1,1,0,0,1,1,0,27.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,10.0
35.0,701.0,0.0,296.0,0.0,25.0,False,train,127,1,1,0,0,1,0,0,7.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1022.0,1,12.0
61.0,2353.0,334.0,9.0,316.0,2.0,False,train,128,1,2,0,0,1,0,0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3014.0,1,10.0
45.0,2103.0,6.0,0.0,0.0,0.0,False,train,128,2,2,0,0,1,0,0,8.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2109.0,1,11.0
22.0,0.0,0.0,175.0,0.0,0.0,True,train,129,1,1,0,1,0,1,0,22.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,11.0
19.0,0.0,0.0,0.0,0.0,0.0,True,train,133,1,2,0,0,1,1,0,29.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0,10.0
36.0,2738.0,0.0,0.0,0.0,0.0,False,train,133,2,2,0,0,1,0,0,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2738.0,1,11.0
19.0,0.0,14.0,730.0,0.0,0.0,True,train,134,1,1,0,1,0,0,0,17.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,744.0,1,16.0
47.0,97.0,418.0,126.0,25.0,55.0,False,train,136,1,1,0,1,0,0,0,23.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,721.0,1,14.0
13.0,0.0,0.0,0.0,0.0,0.0,True,train,138,1,2,0,1,0,1,0,18.0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0.0,0,12.0
34.0,0.0,22.0,0.0,564.0,207.0,False,train,138,2,2,0,1,0,0,0,5.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,793.0,1,11.0
35.0,0.0,0.0,0.0,0.0,0.0,True,train,139,1,1,1,0,0,1,0,6.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,13.0
24.0,0.0,0.0,0.0,0.0,0.0,True,train,140,1,2,0,1,0,1,0,19.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0,16.0
26.0,440.0,0.0,0.0,0.0,462.0,False,train,140,2,2,0,1,0,0,0,29.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,902.0,1,16.0
31.0,223.0,0.0,97.0,0.0,0.0,False,train,141,1,1,0,0,1,0,0,30.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,97.0,1,12.0
20.0,0.0,420.0,210.0,0.0,0.0,True,train,144,1,1,0,1,0,0,0,31.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,630.0,1,13.0
56.0,0.0,0.0,0.0,0.0,0.0,False,train,146,1,1,0,1,0,0,0,25.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,17.0
50.0,0.0,0.0,0.0,0.0,0.0,True,train,147,1,1,0,1,0,1,0,26.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,17.0
42.0,1072.0,0.0,10.0,0.0,76.0,False,train,148,1,1,0,0,1,0,0,31.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1158.0,1,11.0
29.0,0.0,0.0,0.0,0.0,0.0,True,train,149,1,1,0,1,0,1,0,27.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,18.0
38.0,0.0,0.0,0.0,0.0,0.0,False,train,151,1,1,0,1,0,1,0,20.0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,0,13.0
41.0,0.0,0.0,0.0,0.0,607.0,False,train,152,1,1,0,1,0,0,0,32.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,607.0,1,12.0
22.0,4119.0,0.0,0.0,0.0,61.0,False,train,160,1,1,0,1,0,0,0,22.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4180.0,1,13.0
26.0,0.0,0.0,0.0,0.0,0.0,True,train,163,1,2,1,0,0,1,0,8.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,18.0
17.0,0.0,0.0,0.0,0.0,0.0,True,train,163,2,2,1,0,0,1,0,8.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.0,0,18.0
57.0,50.0,1688.0,0.0,308.0,135.0,True,train,164,1,2,0,1,0,0,0,28.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1873.0,1,15.0
17.0,0.0,0.0,0.0,0.0,0.0,False,train,164,2,2,0,1,0,1,0,28.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0,0,16.0
35.0,0.0,0.0,0.0,0.0,0.0,True,train,165,1,1,0,0,1,1,0,37.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0.0,0,12.0
13.0,0.0,0.0,0.0,0.0,0.0,True,train,167,1,2,0,0,1,1,0,35.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.0,0,11.0
27.0,1365.0,0.0,48.0,22.0,137.0,False,train,167,2,2,0,0,1,0,0,35.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1572.0,1,10.0
